Cancer Types,unique_trials,total_incidence,total_mortality,trials_per_100k_incidence,inc_f_0_19_number,inc_f_20_64_number,inc_f_65_85_number,inc_m_0_19_number,inc_m_20_64_number,inc_m_65_85_number,mor_f_0_19_number,mor_f_20_64_number,mor_f_65_85_number,mor_m_0_19_number,mor_m_20_64_number,mor_m_65_85_number,inc_f_0_19_asr,inc_f_20_64_asr,inc_f_65_85_asr,inc_m_0_19_asr,inc_m_20_64_asr,inc_m_65_85_asr,mor_f_0_19_asr,mor_f_20_64_asr,mor_f_65_85_asr,mor_m_0_19_asr,mor_m_20_64_asr,mor_m_65_85_asr,cancer_type_ca
Bladder,499,614298.0,220596.0,81.23,244.0,40143.0,102618.0,523.0,134332.0,336438.0,64.0,8899.0,45961.0,138.0,29287.0,136247.0,0.02,1.7,21.0,0.04,5.8,88.6,0.01,0.38,8.6,0.01,1.3,34.7,Bufeta
Cervix uteri,383,662301.0,348874.0,57.83,309.0,504810.0,157182.0,,,,140.0,224465.0,124269.0,,,,0.02,21.7,37.2,,,,0.01,9.6,28.3,,,,Coll uterí
Leukaemia,1649,487294.0,305405.0,338.4,32120.0,85754.0,91300.0,45561.0,113293.0,119266.0,12534.0,50610.0,68972.0,18580.0,65444.0,89265.0,2.6,3.7,19.3,3.5,4.9,31.8,1.0,2.2,13.9,1.4,2.9,23.3,Leucèmia
Bone Cancer,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,Càncer d'os
"Trachea, bronchus and lung",2529,2480675.0,1817469.0,101.95,566.0,332742.0,575322.0,794.0,566955.0,1004296.0,284.0,166172.0,417772.0,810.0,394225.0,838206.0,0.04,14.1,125.1,0.06,24.6,271.7,0.02,7.0,86.5,0.06,17.1,223.9,"Tràquea, bronquis i pulmó"
Multiple myeloma,633,187952.0,121388.0,336.79,118.0,31148.0,52881.0,178.0,39826.0,63801.0,81.0,16098.0,38243.0,147.0,21226.0,45593.0,0.01,1.3,11.5,0.01,1.7,17.1,0.01,0.68,7.9,0.01,0.92,12.0,Mieloma múltiple
Prostate,936,1467854.0,397430.0,63.77,,,,355.0,387078.0,1080421.0,,,,104.0,40628.0,356698.0,,,,0.03,17.0,291.4,,,,0.01,1.8,90.1,Pròstata
"Brain, central nervous system",822,321731.0,248500.0,255.49,13608.0,76388.0,58036.0,17263.0,96445.0,59991.0,6762.0,50871.0,51044.0,8779.0,73834.0,57210.0,1.1,3.3,12.9,1.3,4.2,16.4,0.54,2.2,11.1,0.66,3.2,15.6,Cervell i sistema nerviós central
Stomach,712,968784.0,660175.0,73.49,480.0,124920.0,215926.0,781.0,231267.0,395410.0,268.0,75261.0,157071.0,436.0,143245.0,283894.0,0.04,5.3,45.1,0.06,10.0,106.5,0.02,3.2,31.7,0.03,6.2,75.3,Estómac
Melanoma of skin,578,331722.0,58667.0,174.24,974.0,75770.0,75025.0,750.0,72907.0,106296.0,77.0,8314.0,17116.0,97.0,11003.0,22060.0,0.07,3.3,16.0,0.05,3.2,28.1,0.01,0.36,3.4,0.01,0.48,5.7,Melanoma de la pell
Eye,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ull
Colorectum,1726,1926425.0,904019.0,89.6,1388.0,319730.0,535861.0,1837.0,432409.0,635200.0,304.0,109377.0,294563.0,564.0,155765.0,343446.0,0.1,13.7,112.6,0.13,18.7,170.8,0.02,4.7,57.3,0.04,6.8,89.5,Colorectal
Liver and intrahepatic bile ducts,1183,866136.0,758725.0,136.58,2419.0,98230.0,164811.0,3257.0,307938.0,289481.0,1302.0,81048.0,154549.0,1945.0,253686.0,266195.0,0.21,4.2,35.2,0.26,13.3,79.0,0.11,3.5,32.3,0.15,10.9,72.1,Fetge i conductes biliars
Lymphoma (Hodgkin lymphoma + Non-Hodgkin lymphoma),1481,635858.0,273412.0,232.91,13666.0,125620.0,136423.0,23780.0,178087.0,158282.0,4258.0,40084.0,71656.0,7809.0,60514.0,89091.0,1.06,5.4399999999999995,29.0,1.7200000000000002,7.7,42.6,0.33,1.79,14.43,0.58,2.59,23.3,Limfoma (Hodgkin i No Hodgkin)
Pancreas,860,510992.0,467409.0,168.3,288.0,64317.0,176678.0,175.0,96985.0,172549.0,83.0,51624.0,168113.0,36.0,81993.0,165560.0,0.02,2.7,36.0,0.01,4.2,46.0,0.01,2.2,33.7,0.0,3.6,43.8,Pàncrees
Oesophagus,681,511054.0,445391.0,133.25,151.0,55140.0,90538.0,199.0,157503.0,207523.0,74.0,45208.0,81676.0,152.0,130788.0,187493.0,0.01,2.4,19.6,0.01,6.8,56.7,0.01,1.9,17.0,0.01,5.7,50.5,Esòfag
Breast,2052,2296840.0,666103.0,89.34,497.0,1506736.0,789607.0,,,,428.0,355513.0,310162.0,,,,0.04,64.7,178.9,,,,0.03,15.2,65.3,,,,Càncer de mama
Thyroid,149,821214.0,47507.0,18.14,8398.0,516201.0,90130.0,2238.0,169520.0,34727.0,264.0,10504.0,19498.0,140.0,5946.0,11155.0,0.63,22.3,22.1,0.16,7.2,9.8,0.02,0.45,4.0,0.01,0.26,3.0,Tiroide
Kidney,419,434840.0,155953.0,96.36,6434.0,70042.0,80564.0,6750.0,139751.0,131299.0,2414.0,14906.0,38290.0,2603.0,33707.0,64033.0,0.55,3.0,17.6,0.55,6.0,35.8,0.21,0.64,7.6,0.21,1.5,16.9,Ronyó
"Lip, oral cavity",339,389846.0,188438.0,86.96,775.0,59368.0,60704.0,976.0,168058.0,99965.0,280.0,26978.0,30372.0,347.0,80536.0,49925.0,0.06,2.5,13.1,0.07,7.2,27.7,0.02,1.2,6.4,0.03,3.5,13.8,Llavi i cavitat oral
Ovary,759,324603.0,206956.0,233.82,5545.0,204045.0,115013.0,,,,1445.0,104603.0,100908.0,,,,0.42,8.8,26.0,,,,0.11,4.5,22.3,,,,Ovaris
Nasopharynx,197,120434.0,73482.0,163.58,961.0,23907.0,9277.0,1964.0,62909.0,21416.0,375.0,11020.0,7983.0,758.0,33588.0,19758.0,0.07,1.0,2.2,0.14,2.7,6.1,0.03,0.47,1.8,0.05,1.5,5.6,Nasofaringe
Corpus uteri,334,420368.0,97723.0,79.45,266.0,244352.0,175750.0,,,,10.0,34955.0,62758.0,,,,0.02,10.4,40.9,,,,0.0,1.5,13.3,,,,Cos uterí
Testis,41,72040.0,9068.0,56.91,,,,6569.0,61269.0,4202.0,,,,792.0,6458.0,1818.0,,,,0.48,2.7,1.1,,,,0.06,0.28,0.49,Testicles
Mesothelioma,91,30633.0,25371.0,297.07,24.0,3511.0,5688.0,25.0,5345.0,16040.0,1.0,2471.0,4817.0,5.0,3801.0,14276.0,0.0,0.15,1.2,0.0,0.23,4.2,0.0,0.11,0.99,0.0,0.17,3.7,Mesotelioma
Vagina,42,18819.0,8240.0,223.18,206.0,9543.0,9070.0,,,,53.0,3704.0,4483.0,,,,0.02,0.41,2.0,,,,0.0,0.16,0.94,,,,Vagina
Oropharynx,34,106400.0,52305.0,31.95,143.0,11074.0,8844.0,238.0,51736.0,34365.0,29.0,4402.0,5056.0,35.0,23524.0,19259.0,0.01,0.47,2.0,0.02,2.2,9.6,0.0,0.19,1.1,0.0,1.0,5.3,Orofaringe
Hypopharynx,35,86257.0,40902.0,40.58,39.0,8933.0,5208.0,93.0,41407.0,30577.0,11.0,3355.0,2972.0,43.0,17467.0,17054.0,0.0,0.38,1.2,0.01,1.8,8.5,0.0,0.14,0.66,0.0,0.75,4.7,Hipofaringe
Vulva,42,47336.0,18579.0,88.73,154.0,17809.0,29373.0,,,,31.0,5721.0,12827.0,,,,0.01,0.76,6.1,,,,0.0,0.24,2.5,,,,Vulva
Salivary glands,39,55083.0,23942.0,70.8,771.0,13699.0,9650.0,701.0,16341.0,13921.0,178.0,4422.0,5353.0,157.0,6308.0,7524.0,0.06,0.59,2.1,0.05,0.71,3.7,0.01,0.19,1.1,0.01,0.27,2.0,Glàndules salivals
Penis,27,37700.0,13738.0,71.62,,,,130.0,18564.0,19006.0,,,,29.0,6705.0,7004.0,,,,0.01,0.8,5.1,,,,0.0,0.29,1.8,Penis
Gallbladder,32,122491.0,89055.0,26.12,18.0,31913.0,47022.0,16.0,15901.0,27621.0,8.0,22204.0,35437.0,8.0,10923.0,20475.0,0.0,1.4,9.9,0.0,0.69,7.3,0.0,0.95,7.3,0.0,0.47,5.4,Vesícula biliar
Kaposi sarcoma,10,35813.0,16169.0,27.92,810.0,8883.0,1500.0,1668.0,18826.0,4126.0,544.0,4333.0,663.0,1086.0,8226.0,1317.0,0.06,0.4,0.31,0.12,0.82,1.1,0.04,0.2,0.14,0.08,0.36,0.36,Sarcoma de Kaposi
Larynx,17,189191.0,103359.0,8.99,84.0,11624.0,11689.0,173.0,84287.0,81334.0,24.0,5147.0,7804.0,68.0,39897.0,50419.0,0.01,0.49,2.6,0.01,3.6,22.5,0.0,0.22,1.7,0.0,1.7,13.7,Laringe
